player,age,elo,hardraw,clayraw,grassraw,hard-court-elo-rating,clay-court-elo-rating,grass-court-elo-rating,peak-age,peak-elo,gender
Novak Djokovic,34.5,2185.2,2068,2016.3,1942.4,2126.6,2100.8,2063.8,28.8,2470,Male
Daniil Medvedev,25.9,2166.2,2095.3,1714.1,1723.4,2130.7,1940.1,1944.8,25.9,2175.1,Male
Alexander Zverev,24.7,2141.3,2056.7,1999.1,1671.4,2099,2070.2,1906.4,24.7,2157.9,Male
Roger Federer,39.9,2043,1936.7,1749.6,1813.4,1989.8,1896.3,1928.2,25.6,2382,Male
Carlos Alcaraz,18.5,2029.5,1906.3,1834.4,1441.4,1967.9,1932,1735.5,18.5,2029.5,Male
Stefanos Tsitsipas,23.4,2023,1882,2005.5,1543.4,1952.5,2014.3,1783.2,22.8,2132.6,Male
Casper Ruud,23,2010.2,1846,1951.2,1465.9,1928.1,1980.7,1738,22.9,2032,Male
Rafael Nadal,35.6,2007.5,1820,1951.2,1500,1913.7,1979.3,1753.7,22.9,2370,Male
Jannik Sinner,20.4,2006.1,1931.2,1807,1312.8,1968.7,1906.6,1659.5,19.7,2025.3,Male
Dominic Thiem,27.7,2002.1,1934.8,1936.2,1618.3,1968.4,1969.1,1810.2,22.8,2123.2,Male
Matteo Berrettini,25.7,1991.1,1769.8,1910.5,1853,1880.4,1950.8,1922.1,25.2,2044.4,Male
Jenson Brooksby,21,1961.2,1863.1,1661.7,1655.9,1912.1,1811.4,1808.5,21,1968.3,Male
Andrey Rublev,24.1,1955,1864.5,1827.4,1652.8,1909.7,1891.2,1803.9,23.5,2105.3,Male
Felix Auger Aliassime,21.4,1936,1830.4,1681.9,1784,1883.2,1808.9,1860,18.9,1937.9,Male
Diego Schwartzman,29.4,1933.9,1845.6,1854.7,1526,1889.7,1894.3,1729.9,28.2,1972.9,Male
Pablo Carreno Busta,30.5,1933.1,1811.9,1868,1439.8,1872.5,1900.5,1686.4,30.1,2001.3,Male
Sebastian Korda,21.3,1916,1797.3,1652.9,1670.2,1856.6,1784.4,1793.1,21.3,1929.2,Male
Tallon Griekspoor,25.5,1915,1750.8,1800.8,1513.3,1832.9,1857.9,1714.1,25.5,1915,Male
Taylor Fritz,24.2,1914.2,1827.8,1654,1600.7,1871,1784.1,1757.5,24.2,1919,Male
Cameron Norrie,26.4,1910.5,1773.6,1810.7,1575.1,1842,1860.6,1742.8,26.2,1987.1,Male
Hubert Hurkacz,24.9,1905.5,1825.9,1572.7,1689.8,1865.7,1739.1,1797.7,24.6,1937.1,Male
Grigor Dimitrov,30.6,1903.5,1819.2,1723.3,1521.5,1861.4,1813.4,1712.5,23.2,2090.3,Male
Kei Nishikori,31.8,1900.1,1810.8,1805.2,1628.4,1855.4,1852.7,1764.3,26.7,2210.4,Male
Ilya Ivashka,27.7,1898.3,1785.2,1677.6,1604.8,1841.8,1788,1751.5,27.6,1911.4,Male
Karen Khachanov,25.6,1892.5,1807.1,1747.8,1705,1849.8,1820.1,1798.8,22.4,2015.2,Male
Milos Raonic,30.6,1888.7,1802.8,1671.5,1640.2,1845.7,1780.1,1764.4,25.5,2155.9,Male
Tommy Paul,24.6,1882.5,1781.5,1676.4,1506.5,1832,1779.5,1694.5,24.6,1898.1,Male
Marin Cilic,33.3,1879.6,1755.4,1740,1796,1817.5,1809.8,1837.8,21.4,2094.4,Male
Frances Tiafoe,24,1875.3,1797,1653.5,1616.9,1836.1,1764.4,1746.1,23.8,1904.8,Male
Denis Shapovalov,22.7,1873.5,1761.7,1713,1667.6,1817.6,1793.2,1770.5,20.7,1973.2,Male
Aslan Karatsev,28.2,1872.8,1775.2,1726.6,1322.6,1824,1799.7,1597.7,27.7,1958.3,Male
Lloyd Harris,24.7,1870.3,1796.5,1576.4,1431.7,1833.4,1723.4,1651,24.6,1889.3,Male
Botic Van De Zandschulp,26.3,1869.8,1789.5,1642.7,1413.9,1829.6,1756.3,1641.8,26.3,1885.2,Male
Brandon Nakashima,20.3,1869.1,1784,1381.1,1536.1,1826.6,1625.1,1702.6,20.3,1898.2,Male
John Isner,36.7,1864.5,1759.2,1728.1,1688.6,1811.9,1796.3,1776.6,27.3,2039.7,Male
Roberto Bautista Agut,33.7,1863.2,1792.7,1673.8,1678.4,1827.9,1768.5,1770.8,27.8,2014.5,Male
Gael Monfils,35.3,1854.3,1832.9,1530.3,1419.8,1843.6,1692.3,1637.1,28.6,2067.7,Male
Daniel Evans,31.6,1853.4,1766.8,1600.1,1687.3,1810.1,1726.8,1770.4,30.9,1886.1,Male
Andy Murray,34.6,1832.8,1736.2,1778.8,1637.9,1784.5,1805.8,1735.3,29.6,2347,Male
Lorenzo Sonego,26.6,1823.8,1632.9,1788.9,1638.7,1728.4,1806.3,1731.2,26,1887.4,Male
Ugo Humbert,23.5,1823.4,1696,1406,1747.3,1759.7,1614.7,1785.4,23.1,1914.5,Male
Nikoloz Basilashvili,29.9,1823.3,1714.4,1713.4,1549.9,1768.8,1768.3,1686.6,26.6,1877.7,Male
Alex De Minaur,22.9,1823.1,1722.9,1453.5,1650,1773,1638.3,1736.5,20.9,1992.8,Male
Marcos Giron,28.4,1818,1720.4,1472.2,1594.4,1769.2,1645.1,1706.2,28.3,1842.5,Male
Alejandro Davidovich Fokina,22.4,1815.1,1652.7,1799.3,1463.3,1733.9,1807.2,1639.2,22,1927.9,Male
Nick Kyrgios,26.3,1811.6,1700.4,1500,1580.3,1756,1655.8,1695.9,22.3,2088.8,Male
Reilly Opelka,24.4,1809.9,1716.3,1686.3,1391.6,1763.1,1748.1,1600.7,23,1898.7,Male
Jeremy Chardy,34.5,1807,1750.8,1669.2,1543.8,1778.9,1738.1,1675.4,22.5,1897.6,Male
Alex Molcan,24.1,1806.1,1695.4,1688.8,1497.6,1750.8,1747.4,1651.9,24.1,1823.9,Male
David Goffin,31.1,1803.9,1698.2,1736.2,1724.3,1751,1770.1,1764.1,26.4,2038.3,Male
Emil Ruusuvuori,22.8,1803.1,1726.8,1367.7,1436,1765,1585.4,1619.6,20.8,1849.9,Male
Kevin Anderson,35.6,1800,1701.2,1671.7,1658,1750.6,1735.8,1729,32.7,2026.6,Male
Holger Rune,18.7,1798.5,1656.6,1742.1,1500,1727.5,1770.3,1649.2,18.4,1876.6,Male
Marton Fucsovics,29.9,1798.3,1709,1650.8,1610.6,1753.6,1724.5,1704.4,29.1,1923.6,Male
Alexander Bublik,24.5,1793.8,1704.5,1536.7,1587.6,1749.1,1665.2,1690.7,23.9,1845.4,Male
Fabio Fognini,34.4,1793.3,1704.5,1757,1629.1,1748.9,1775.1,1711.2,26.9,2007.7,Male
Sebastian Baez,21,1793.1,1455.4,1823.8,1368.2,1624.2,1808.5,1580.6,21,1848.4,Male
Jan Lennard Struff,31.7,1786.7,1676.8,1734.6,1518.1,1731.7,1760.6,1652.4,29.2,1898.1,Male
Filip Krajinovic,29.9,1779.4,1686.9,1777.9,1346.9,1733.1,1778.7,1563.2,28.5,1937.9,Male
Oscar Otte,28.5,1778.2,1686,1562.1,1515.8,1732.1,1670.1,1647,28.5,1797.7,Male
Cristian Garin,25.6,1777.5,1522,1786.4,1611.4,1649.8,1782,1694.5,25.1,1887.2,Male
Aljaz Bedene,32,1776.5,1709.2,1676.7,1544.4,1742.9,1726.6,1660.5,28,1904,Male
Pedro Martinez,24.5,1770.7,1581.7,1718.3,1420.7,1676.2,1744.5,1595.7,24.4,1812.4,Male
Richard Gasquet,35.4,1765.7,1660.2,1682.6,1610.3,1713,1724.2,1688,26.8,2051.8,Male
Kamil Majchrzak,26,1762.2,1605.5,1675.6,1654.9,1683.9,1718.9,1708.6,25.7,1768.7,Male
Soon Woo Kwon,24.1,1760,1675.7,1470.7,1543.6,1717.8,1615.4,1651.8,23.8,1776.9,Male
Mackenzie Mcdonald,26.7,1757,1681.9,1627.6,1610.3,1719.4,1692.3,1683.7,26.5,1801.6,Male
Maxime Cressy,24.7,1756.4,1696.5,1264.5,1451.9,1726.5,1510.5,1604.1,24.7,1762.8,Male
Mikael Ymer,23.3,1749,1665.6,1628.8,1509.7,1707.3,1688.9,1629.3,21.1,1875.2,Male
Corentin Moutet,22.7,1748.1,1708.2,1563.7,1483.2,1728.1,1655.9,1615.6,22,1795.3,Male
Yoshihito Nishioka,26.3,1743.4,1655.4,1611.8,1394.3,1699.4,1677.6,1568.8,24.4,1883.1,Male
John Millman,32.6,1738.5,1659.3,1610.4,1494.9,1698.9,1674.5,1616.7,27.2,1845.6,Male
Philipp Kohlschreiber,38,1736.5,1694.8,1667.2,1544,1715.7,1701.9,1640.3,25.7,1985.4,Male
Sam Querrey,34,1736.4,1600.7,1631.1,1702.3,1668.5,1683.7,1719.3,25.1,1971.5,Male
James Duckworth,30,1736,1657.4,1433.5,1546.2,1696.7,1584.7,1641.1,29.8,1771.2,Male
Ricardas Berankis,31.5,1732.4,1635.1,1567.5,1393.7,1683.8,1650,1563.1,20.1,1808.8,Male
Daniel Altmaier,23.3,1729.9,1576.8,1690.8,1435.5,1653.4,1710.4,1582.7,22.9,1779.1,Male
Hugo Gaston,21.1,1727.6,1573.1,1636.9,1421.9,1650.4,1682.3,1574.7,21.1,1783.4,Male
Guido Pella,31.4,1726.4,1675.6,1686.4,1490.5,1701,1706.4,1608.5,29.2,1869,Male
Laslo Djere,26.6,1726,1473.3,1759.2,1313.7,1599.6,1742.6,1519.8,26.1,1805.3,Male
Dominik Koepfer,27.7,1725.9,1583.7,1666.6,1555,1654.8,1696.2,1640.5,26.4,1788.4,Male
Vasek Pospisil,31.4,1725.3,1681,1279.1,1468.1,1703.1,1502.2,1596.7,30.4,1885.4,Male
Henri Laaksonen,29.8,1723.9,1594.7,1652.5,1234.5,1659.3,1688.2,1479.2,29.6,1792.2,Male
Thanasi Kokkinakis,25.7,1722.7,1670.4,1661.2,1373.6,1696.6,1692,1548.2,19.2,1867.6,Male
Albert Ramos,33.8,1722.3,1567.6,1706.3,1341.3,1644.9,1714.3,1531.8,29.3,1872.7,Male
Federico Delbonis,31.2,1721.5,1419.4,1772.2,1176.1,1570.4,1746.8,1448.8,26.8,1863.1,Male
Mats Moraing,29.4,1716.6,1542.8,1635.7,1344.6,1629.7,1676.1,1530.6,29.4,1716.6,Male
Jack Sock,29.1,1712.8,1634.7,1691.1,1512.4,1673.7,1701.9,1612.6,24.4,2037.1,Male
Tomas Machac,21.2,1712.7,1669,1550.6,1418.5,1690.9,1631.7,1565.6,20.4,1773.9,Male
Gianluca Mager,27.1,1711.3,1548.6,1652.1,1382.1,1630,1681.7,1546.7,26.5,1728.9,Male
Stefano Travaglia,30,1707.5,1584.4,1689.5,1426.5,1645.9,1698.5,1567,29.1,1797.8,Male
Arthur Rinderknech,26.5,1706.8,1557.3,1720.7,1567.3,1632.1,1713.8,1637.1,26,1822.7,Male
Adrian Mannarino,33.5,1706.2,1672.1,1441,1665.3,1689.1,1573.6,1685.7,29.5,1884.4,Male
Juan Manuel Cerundolo,20.1,1703.2,1229.3,1707.5,1349.8,1466.2,1705.4,1526.5,19.9,1783,Male
Alexei Popyrin,22.4,1700.7,1621.5,1607.6,1474.6,1661.1,1654.1,1587.6,21.7,1809.5,Male
Roberto Carballes Baena,28.8,1697.7,1523.8,1650.5,1377.5,1610.7,1674.1,1537.6,26.2,1749.7,Male
Benjamin Bonzi,25.6,1696.2,1609.7,1460,1671.3,1653,1578.1,1683.8,25.3,1808.5,Male
Facundo Bagnis,31.8,1695.7,1408,1678.2,1185.5,1551.8,1687,1440.6,31.3,1718.9,Male
Marco Cecchinato,29,1694.1,1356.2,1678.1,1336.1,1525.1,1686.1,1515.1,25.8,1829,Male
Pablo Andujar,35.8,1693.7,1491.4,1672.9,1302.6,1592.6,1683.3,1498.1,33.7,1796.1,Male
Egor Gerasimov,29.1,1692.2,1647.8,1371.3,1303.6,1670,1531.7,1497.9,27.3,1791,Male
Thiago Monteiro,27.6,1691.2,1523.3,1654.8,1430.8,1607.2,1673,1561,21.9,1725.8,Male
Dusan Lajovic,31.5,1688.6,1593.3,1665.5,1354.3,1640.9,1677.1,1521.5,28.3,1845.1,Male
Feliciano Lopez,40.2,1685.1,1598.6,1601.3,1701.3,1641.8,1643.2,1693.2,33,1943.4,Male
Steve Johnson,32,1683.5,1613.3,1622.5,1585.3,1648.4,1653,1634.4,27.4,1932.3,Male
Jordan Thompson,27.7,1683.1,1591.5,1513.1,1590,1637.3,1598.1,1636.5,25.1,1792.8,Male
Pierre Hugues Herbert,30.6,1680.3,1599.9,1611.6,1530,1640.1,1645.9,1605.1,27.9,1845,Male
Andreas Seppi,37.9,1680.2,1614.2,1534.2,1573.8,1647.2,1607.2,1627,28.9,1904.9,Male
Pablo Cuevas,35.9,1675.6,1569.2,1667.2,1440.8,1622.4,1671.4,1558.2,30.5,1909.3,Male
Peter Gojowczyk,32.5,1674,1605.2,1438.5,1547.3,1639.6,1556.2,1610.6,28.6,1830.3,Male
Stefan Kozlov,23.9,1673.1,1637,1349.6,1469.1,1655,1511.3,1571.1,23.8,1690.2,Male
Lorenzo Musetti,19.8,1672.4,1498.1,1717.2,1353.8,1585.2,1694.8,1513.1,19.2,1861.3,Male
Federico Coria,29.7,1671.5,1339.1,1709.3,1256.6,1505.3,1690.4,1464.1,29.3,1741.1,Male
Christopher Oconnell,27.6,1671.5,1565.9,1520.7,1518.7,1618.7,1596.1,1595.1,27.4,1735.7,Male
Jiri Lehecka,20.2,1671.1,1614.2,1562.2,1500,1642.6,1616.7,1585.5,19.7,1734.5,Male
Juan Pablo Varillas,26.2,1668.9,1192.1,1657.5,1343.8,1430.5,1663.2,1506.3,26.1,1714.3,Male
J J Wolf,23,1666.7,1596.5,1188.9,-,1631.6,1427.8,1533.4,21.7,1812.8,Male
Bernabe Zapata Miralles,25,1666.6,1473.4,1691.8,1476.1,1570,1679.2,1571.3,24.6,1758.8,Male
Denis Kudla,29.4,1666.1,1553.9,1423.7,1658.5,1610,1544.9,1662.3,22.9,1772.4,Male
Christopher Eubanks,25.5,1664.2,1609.1,1295.8,1329.5,1636.7,1480,1496.8,25.5,1664.2,Male
Lucas Pouille,27.9,1663.8,1598.2,1628.8,1559.6,1631,1646.3,1611.7,23.3,1977.2,Male
Francisco Cerundolo,23.4,1662.8,1467.2,1637.1,1434.7,1565,1650,1548.8,22.5,1835.8,Male
Jaume Munar,24.7,1662.8,1499.4,1633.3,1219.5,1581.1,1648.1,1441.1,24,1800.3,Male
Jiri Vesely,28.5,1662.1,1621.8,1542.1,1626.8,1641.9,1602.1,1644.5,21,1892.3,Male
Benoit Paire,32.5,1661.3,1595.5,1640.2,1529.9,1628.4,1650.8,1595.6,24.1,1904.2,Male
Miomir Kecmanovic,22.2,1659.5,1567.8,1620.4,1521,1613.7,1640,1590.3,19.9,1846.2,Male
Liam Broady,27.9,1659.3,1589,1474.5,1349.5,1624.2,1566.9,1504.4,27.7,1685.6,Male
Fernando Verdasco,38,1657.4,1595.5,1635.5,1568.4,1626.4,1646.5,1612.9,26.4,2096.6,Male
Franco Agamenone,28.7,1656,1441.6,1596.4,-,1548.8,1626.2,1528,28.5,1700.5,Male
